ID,class
1,0
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,2
22,2
23,2
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,0
32,2
33,1
34,1
35,2
36,1
37,2
38,1
39,2
40,1
41,1
42,1
43,2
44,1
45,1
46,0
47,1
48,1
49,2
50,0
51,0
52,1
53,1
54,0
55,1
56,1
57,0
58,1
59,1
60,1
61,1
62,1
63,2
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,2
72,1
73,2
74,2
75,1
76,1
77,1
78,1
79,1
80,2
81,1
82,1
83,1
84,1
85,1
86,0
87,0
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,0
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,2
108,0
109,1
110,0
111,2
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,2
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,2
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,2
141,1
142,0
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,2
159,1
160,1
161,1
162,2
163,1
164,1
165,1
166,1
167,2
168,1
169,1
170,0
171,1
172,1
173,0
174,2
175,2
176,2
177,1
178,1
179,0
180,1
181,1
182,1
183,1
184,1
185,1
186,2
187,1
188,2
189,1
190,1
191,1
192,1
193,1
194,0
195,1
196,2
197,1
198,1
199,2
200,2
201,1
202,2
203,1
204,1
205,1
206,1
207,1
208,1
209,0
210,1
211,1
212,1
213,1
214,1
215,1
216,2
217,0
218,1
219,1
220,1
221,1
222,1
223,1
224,0
225,1
226,2
227,1
228,2
229,1
230,1
231,1
232,1
233,2
234,1
235,2
236,0
237,2
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,2
250,1
251,1
252,1
253,1
254,0
255,1
256,1
257,1
258,0
259,1
260,1
261,0
262,1
263,2
264,2
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,2
273,1
274,1
275,1
276,0
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,0
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,2
299,1
300,0
301,1
302,1
303,2
304,1
305,1
306,0
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,2
316,0
317,2
318,0
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,0
328,1
329,1
330,1
331,1
332,0
333,1
334,2
335,1
336,1
337,1
338,1
339,1
340,1
341,2
342,1
343,1
344,1
345,1
346,1
347,1
348,2
349,1
350,1
351,1
352,1
353,2
354,0
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,0
364,1
365,0
366,2
367,1
368,1
369,1
370,2
371,2
372,2
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,0
381,1
382,1
383,1
384,1
385,1
386,1
387,2
388,1
389,0
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,0
398,2
399,1
400,1
401,1
402,2
403,1
404,1
405,1
406,1
407,1
408,1
409,2
410,1
411,1
412,1
413,2
414,1
415,2
416,1
417,1
418,2
419,1
420,2
421,2
422,1
423,2
424,1
425,1
426,1
427,1
428,1
429,1
430,0
431,1
432,0
433,2
434,2
435,1
436,1
437,0
438,1
439,1
440,1
441,0
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,0
455,0
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,0
466,1
467,2
468,1
469,1
470,0
471,1
472,2
473,1
474,1
475,1
476,0
477,2
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,2
486,1
487,2
488,1
489,0
490,1
491,2
492,1
493,1
494,1
495,1
496,1
497,1
498,0
499,2
500,1
501,2
502,0
503,1
504,1
505,1
506,1
507,2
508,0
509,1
510,1
511,1
512,2
513,1
514,1
515,2
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,0
527,1
528,1
529,2
530,2
531,1
532,1
533,1
534,2
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,2
544,1
545,1
546,2
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,2
555,1
556,2
557,2
558,1
559,1
560,1
561,0
562,1
563,1
564,1
565,1
566,1
567,1
568,2
569,2
570,1
571,1
572,1
573,0
574,1
575,0
576,0
577,1
578,1
579,1
580,1
581,1
582,1
583,1
584,0
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,0
593,1
594,1
595,1
596,1
597,0
